39.901 142.595 14.233 SYN
0.000 0.000 0.000 0.572
ST05 ST09 -3.909 1.000
ST08 ST12 1.013 1.000
ST05 ST08 1.201 1.000
ST02 ST10 13.857 1.000
ST03 ST09 -3.194 1.000
ST01 ST04 -1.451 1.000
ST02 ST08 -1.744 1.000
ST03 ST08 1.235 1.000
ST07 ST08 -14.230 1.000
ST01 ST07 0.048 1.000
ST03 ST11 7.068 1.000
ST06 ST08 8.999 1.000
ST03 ST05 1.107 1.000
ST08 ST09 -6.816 1.000
ST08 ST11 3.985 1.000
ST07 ST09 -20.438 1.000
ST04 ST07 1.139 1.000
ST08 ST10 16.068 1.000
ST06 ST12 9.492 1.000
ST06 ST07 22.050 1.000
ST04 ST06 -21.001 1.000
ST01 CA00 -15.256 1.000
ST12 CA00 -1.873 1.000
ST11 CA00 -4.450 1.000
