39.601 142.498 14.787 DE
0.000 0.000 0.000 0.436
ST02 ST12 11.106 5.971
ST05 CA00 2.359 1.221
ST10 CA00 -19.139 6.199
ST01 ST07 1.815 1.856
ST03 ST10 9.909 4.139
ST02 ST05 -4.867 3.765
ST01 ST11 -2.566 1.793
ST03 ST11 1.762 2.145
ST07 ST09 -5.152 2.042
ST07 CA00 -15.098 4.338
ST04 ST12 1.750 6.759
ST09 ST10 9.995 2.621
ST08 ST10 13.902 1.006
ST03 ST08 -5.535 3.265
ST07 ST12 -1.167 2.706
ST02 ST10 15.061 1.546
ST08 CA00 -4.556 6.586
ST06 ST09 2.454 2.879
ST04 ST11 -2.395 1.448
ST07 ST10 4.262 3.446
ST02 ST08 0.315 2.014
ST02 CA00 -3.921 3.045
ST05 ST09 11.754 1.897
ST03 ST06 -1.999 18.616
ST03 ST12 5.034 7.366
ST01 ST05 -15.327 3.768
ST01 ST03 -4.615 5.114
ST05 ST07 16.492 2.656
