time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T01:00:00,39.505000,142.498000,17.243,0.000,0.000,0.000,0.429,000101.010000.dat,DE,
2000-01-01T08:00:00,39.703000,142.403000,14.998,0.000,0.000,0.000,0.367,000101.080000.dat,DE,
2000-01-01T11:00:00,39.706000,142.695000,13.683,0.000,0.000,0.000,0.547,000101.110000.dat,DE,
2000-01-01T18:00:00,39.888000,142.598000,13.753,0.000,0.000,0.000,0.494,000101.180000.dat,DE,
2000-01-01T09:00:00,39.699000,142.502000,17.533,0.000,0.000,0.000,0.556,000101.090000.dat,DE,
2000-01-01T00:00:00,39.501000,142.394000,15.911,0.000,0.000,0.000,0.515,000101.000000.dat,DE,
2000-01-01T19:00:00,39.882000,142.707000,13.138,0.000,0.000,0.000,0.530,000101.190000.dat,DE,
2000-01-01T10:00:00,39.702000,142.587000,14.954,0.000,0.000,0.000,0.351,000101.100000.dat,DE,
2000-01-01T02:00:00,39.501000,142.587000,18.147,0.000,0.000,0.000,0.354,000101.020000.dat,DE,
2000-01-01T03:00:00,39.499000,142.689000,16.152,0.000,0.000,0.000,0.499,000101.030000.dat,DE,
2000-01-01T13:00:00,39.799000,142.502000,15.343,0.000,0.000,0.000,0.312,000101.130000.dat,DE,
2000-01-01T12:00:00,39.795000,142.406000,14.006,0.000,0.000,0.000,0.534,000101.120000.dat,DE,
2000-01-01T06:00:00,39.602000,142.606000,15.632,0.000,0.000,0.000,0.440,000101.060000.dat,DE,
2000-01-01T20:00:00,39.499000,143.803000,15.388,0.000,0.000,0.000,0.436,000101.200000.dat,DE,
2000-01-01T07:00:00,39.600000,142.700000,14.420,0.000,0.000,0.000,0.484,000101.070000.dat,DE,
2000-01-01T16:00:00,39.886000,142.414000,13.868,0.000,0.000,0.000,0.399,000101.160000.dat,DE,
2000-01-01T15:00:00,39.787000,142.707000,13.559,0.000,0.000,0.000,0.477,000101.150000.dat,DE,
2000-01-01T17:00:00,39.905000,142.501000,14.557,0.000,0.000,0.000,0.610,000101.170000.dat,DE,
2000-01-01T21:00:00,39.603000,143.749000,11.056,0.000,0.000,0.000,0.434,000101.210000.dat,DE,
2000-01-01T05:00:00,39.601000,142.498000,14.787,0.000,0.000,0.000,0.436,000101.050000.dat,DE,
2000-01-01T04:00:00,39.595000,142.381000,15.945,0.000,0.000,0.000,0.443,000101.040000.dat,DE,
2000-01-01T14:00:00,39.794000,142.601000,14.404,0.000,0.000,0.000,0.506,000101.140000.dat,DE,
2000-01-01T23:00:00,39.592000,143.770000,13.244,0.000,0.000,0.000,0.511,000101.230000.dat,DE,
2000-01-01T22:00:00,39.503000,143.702000,11.709,0.000,0.000,0.000,0.467,000101.220000.dat,DE,
