39.796 142.610 15.933 MCMC
1.121 0.847 1.384 0.546
ST02 ST12 0.814 9.939
ST04 ST12 -8.470 162.764
ST01 ST09 -14.985 1.051
ST09 ST11 6.847 31.898
ST04 ST05 -14.839 1.209
ST06 ST09 2.050 1.922
ST01 ST08 -13.738 6.770
ST02 ST03 -1.443 8.461
ST03 ST07 12.651 1.973
ST07 ST09 -15.881 3.359
ST09 CA00 0.821 1.521
ST07 CA00 -15.460 0.738
ST02 ST07 11.165 1.718
ST07 ST10 3.162 1.285
ST11 CA00 -4.294 0.959
ST06 CA00 3.222 4.681
ST04 ST09 -14.312 7.441
ST01 ST05 -15.236 1.869
ST03 ST10 14.543 66.050
ST01 ST11 -8.993 7.813
ST01 ST10 1.832 5.040
ST01 ST06 -17.344 8.168
ST07 ST11 -8.806 26.064
ST02 ST11 2.898 0.924
ST04 ST06 -15.880 5.794
ST09 ST12 5.030 1.463
ST02 ST08 -2.867 12.131
ST08 ST09 -2.473 2.369
ST02 ST04 9.640 2.161
ST05 ST12 6.025 2.098
