time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T01:00:00,39.499000,142.487000,16.466,1.058,0.619,0.673,0.540,000101.010000.dat,MCMC,
2000-01-01T11:00:00,39.709000,142.717000,16.690,0.996,1.388,0.803,0.711,000101.110000.dat,MCMC,
2000-01-01T08:00:00,39.703000,142.396000,16.363,0.096,0.455,0.148,0.391,000101.080000.dat,MCMC,
2000-01-01T18:00:00,39.889000,142.605000,13.175,0.489,0.396,0.708,0.521,000101.180000.dat,MCMC,
2000-01-01T09:00:00,39.704000,142.504000,16.107,0.771,0.841,0.482,0.603,000101.090000.dat,MCMC,
2000-01-01T19:00:00,39.892000,142.705000,14.135,1.400,0.759,1.403,0.532,000101.190000.dat,MCMC,
2000-01-01T00:00:00,39.498000,142.389000,16.438,0.543,0.931,1.327,0.531,000101.000000.dat,MCMC,
2000-01-01T10:00:00,39.705000,142.589000,17.793,0.934,1.486,0.876,0.403,000101.100000.dat,MCMC,
2000-01-01T12:00:00,39.803000,142.388000,17.644,0.769,0.852,0.687,0.626,000101.120000.dat,MCMC,
2000-01-01T02:00:00,39.494000,142.584000,18.811,0.758,0.662,0.894,0.432,000101.020000.dat,MCMC,
2000-01-01T03:00:00,39.491000,142.685000,13.203,0.866,0.843,1.539,0.666,000101.030000.dat,MCMC,
2000-01-01T13:00:00,39.793000,142.504000,13.634,0.266,0.866,0.371,0.380,000101.130000.dat,MCMC,
2000-01-01T20:00:00,39.501000,143.839000,13.340,1.019,4.424,1.371,0.451,000101.200000.dat,MCMC,
2000-01-01T16:00:00,39.890000,142.415000,15.645,0.780,0.260,1.278,0.444,000101.160000.dat,MCMC,
2000-01-01T06:00:00,39.600000,142.610000,14.943,0.655,0.447,0.330,0.462,000101.060000.dat,MCMC,
2000-01-01T07:00:00,39.599000,142.704000,15.583,0.648,0.249,0.696,0.511,000101.070000.dat,MCMC,
2000-01-01T17:00:00,39.906000,142.496000,15.395,0.510,0.609,0.777,0.593,000101.170000.dat,MCMC,
2000-01-01T15:00:00,39.793000,142.722000,16.722,0.999,0.527,2.186,0.596,000101.150000.dat,MCMC,
2000-01-01T21:00:00,39.597000,143.740000,12.196,1.145,5.656,1.398,0.448,000101.210000.dat,MCMC,
2000-01-01T05:00:00,39.600000,142.501000,14.889,0.374,0.558,1.173,0.441,000101.050000.dat,MCMC,
2000-01-01T23:00:00,39.588000,143.760000,15.263,1.278,4.319,1.989,0.519,000101.230000.dat,MCMC,
2000-01-01T04:00:00,39.612000,142.381000,13.576,1.236,1.668,1.434,0.483,000101.040000.dat,MCMC,
2000-01-01T22:00:00,39.507000,143.720000,14.544,0.925,4.378,1.609,0.483,000101.220000.dat,MCMC,
2000-01-01T14:00:00,39.796000,142.610000,15.933,1.121,0.847,1.384,0.546,000101.140000.dat,MCMC,
