39.601 142.696 14.295 STD
0.194 0.265 0.292 0.251
ST04 CA00 -8.772 10.491
ST06 ST07 5.844 16.219
ST05 ST11 6.786 12.917
ST01 ST09 -8.378 18.154
ST07 ST09 -6.261 68.939
ST02 ST03 4.862 2.729
ST07 CA00 -9.691 6.422
ST02 CA00 -3.587 5.764
ST08 ST09 7.648 3.847
ST04 ST12 -1.328 2.003
ST05 ST12 11.258 5.993
ST05 ST06 8.010 3.141
ST05 ST10 16.953 709.044
ST03 ST05 -12.253 4.320
ST07 ST12 -2.664 45.667
ST03 ST08 -12.402 2.540
ST12 CA00 -5.403 0.000
ST11 CA00 -3.044 0.000
ST10 ST12 -4.631 0.000
ST03 ST07 2.100 2.111
ST06 ST10 7.745 0.000
ST08 ST10 16.685 4.836
