time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T11:00:00,39.705000,142.697000,15.079,0.500,0.536,2.225,0.564,000101.110000.dat,STD,
2000-01-01T18:00:00,39.894000,142.595000,14.347,0.626,0.377,0.664,0.429,000101.180000.dat,STD,
2000-01-01T08:00:00,39.703000,142.400000,15.798,0.368,0.510,1.015,0.394,000101.080000.dat,STD,
2000-01-01T01:00:00,39.503000,142.499000,17.095,0.332,0.224,0.615,0.233,000101.010000.dat,STD,
2000-01-01T19:00:00,39.882000,142.708000,13.177,0.843,0.544,0.927,0.506,000101.190000.dat,STD,
2000-01-01T00:00:00,39.499000,142.389000,15.545,0.544,0.625,0.904,0.542,000101.000000.dat,STD,
2000-01-01T09:00:00,39.696000,142.504000,17.174,0.361,0.425,0.779,0.411,000101.090000.dat,STD,
2000-01-01T02:00:00,39.500000,142.589000,17.639,0.223,0.315,0.789,0.312,000101.020000.dat,STD,
2000-01-01T12:00:00,39.792000,142.409000,14.138,0.478,0.704,0.729,0.483,000101.120000.dat,STD,
2000-01-01T03:00:00,39.497000,142.692000,14.644,0.344,0.457,0.626,0.360,000101.030000.dat,STD,
2000-01-01T10:00:00,39.703000,142.594000,15.072,0.299,0.376,2.012,0.349,000101.100000.dat,STD,
2000-01-01T16:00:00,39.885000,142.414000,13.621,0.732,0.583,0.926,0.401,000101.160000.dat,STD,
2000-01-01T13:00:00,39.799000,142.505000,14.777,0.368,0.291,0.549,0.217,000101.130000.dat,STD,
2000-01-01T20:00:00,39.496000,143.838000,17.956,0.506,2.529,2.921,0.344,000101.200000.dat,STD,
2000-01-01T21:00:00,39.603000,143.743000,15.586,0.724,2.862,1.231,0.448,000101.210000.dat,STD,
2000-01-01T06:00:00,39.604000,142.609000,14.473,0.228,0.282,0.367,0.290,000101.060000.dat,STD,
2000-01-01T07:00:00,39.601000,142.696000,14.295,0.194,0.265,0.292,0.251,000101.070000.dat,STD,
2000-01-01T05:00:00,39.601000,142.497000,14.841,0.323,0.288,0.367,0.402,000101.050000.dat,STD,
2000-01-01T15:00:00,39.792000,142.708000,15.605,0.434,0.481,1.189,0.395,000101.150000.dat,STD,
2000-01-01T22:00:00,39.502000,143.696000,11.772,0.603,2.642,1.125,0.419,000101.220000.dat,STD,
2000-01-01T04:00:00,39.609000,142.385000,14.071,0.531,0.628,0.588,0.332,000101.040000.dat,STD,
2000-01-01T14:00:00,39.795000,142.595000,14.559,0.354,0.358,0.708,0.393,000101.140000.dat,STD,
2000-01-01T17:00:00,39.898000,142.504000,14.059,0.538,0.184,0.527,0.137,000101.170000.dat,STD,
2000-01-01T23:00:00,39.590000,143.771000,13.201,0.696,2.583,3.785,0.397,000101.230000.dat,STD,
