39.768 142.405 18.686 TRD
1.933 2.210 0.001 2.291
ST02 ST12 7.455 1.000
ST04 ST12 -4.228 1.000
ST02 ST10 18.232 1.000
ST03 ST04 15.791 1.000
ST01 ST09 -10.565 1.000
ST05 ST07 15.829 1.000
ST04 ST07 2.873 1.000
ST02 ST03 -1.246 1.000
ST06 ST07 18.278 1.000
ST06 ST08 6.790 1.000
ST01 ST07 2.822 1.000
ST06 CA00 1.032 1.000
ST07 ST12 -6.836 1.000
ST10 CA00 -21.558 1.000
ST03 ST05 -0.070 1.000
ST02 ST08 2.205 1.000
ST01 ST02 -12.458 1.000
ST08 ST11 6.372 1.000
ST11 ST12 -1.017 1.000
ST02 ST07 14.813 1.000
ST01 ST04 -0.798 1.000
ST05 CA00 -1.581 1.000
ST10 ST11 -10.482 1.000
ST05 ST10 20.076 1.000
ST02 ST05 -1.502 1.000
ST01 ST05 -14.440 1.000
ST09 CA00 -4.604 1.000
ST05 ST12 8.946 1.000
ST04 CA00 -15.493 1.000
ST05 ST09 3.985 1.000
