time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T08:00:00,39.682225,142.409228,18.272,0.000,0.000,0.000,1.012,000101.080000.dat,TRD,1
2000-01-01T13:00:00,39.768404,142.600711,9.087,1.565,1.125,0.011,1.647,000101.130000.dat,TRD,1
2000-01-01T07:00:00,39.590683,142.711802,12.090,1.602,1.056,0.009,4.519,000101.070000.dat,TRD,1
2000-01-01T05:00:00,39.582569,142.475059,11.496,1.990,1.687,0.005,1.939,000101.050000.dat,TRD,1
2000-01-01T00:00:00,39.476240,142.424887,13.310,0.000,0.000,0.000,1.698,000101.000000.dat,TRD,1
2000-01-01T04:00:00,39.595007,142.536646,6.848,2.100,2.928,0.000,2.674,000101.040000.dat,TRD,1
2000-01-01T17:00:00,39.869763,142.502409,15.585,1.873,1.910,0.002,1.239,000101.170000.dat,TRD,1
2000-01-01T11:00:00,39.681757,142.717112,20.471,1.544,1.137,0.011,0.939,000101.110000.dat,TRD,1
2000-01-01T12:00:00,39.768196,142.404931,18.686,1.933,2.210,0.001,2.291,000101.120000.dat,TRD,1
2000-01-01T09:00:00,39.659371,142.508442,14.271,1.497,1.258,0.006,2.033,000101.090000.dat,TRD,1
2000-01-01T14:00:00,39.738834,142.675045,11.107,1.379,1.242,0.000,2.085,000101.140000.dat,TRD,1
2000-01-01T19:00:00,39.883099,142.725014,17.570,0.000,0.000,0.000,2.041,000101.190000.dat,TRD,1
2000-01-01T02:00:00,39.534616,142.543269,19.534,2.875,2.298,0.000,0.483,000101.020000.dat,TRD,1
2000-01-01T01:00:00,39.474830,142.473444,12.583,1.699,1.571,0.002,1.414,000101.010000.dat,TRD,1
2000-01-01T18:00:00,39.870233,142.605079,14.282,0.000,0.000,0.000,0.572,000101.180000.dat,TRD,1
2000-01-01T03:00:00,39.490385,142.722159,10.707,0.000,0.000,0.000,1.762,000101.030000.dat,TRD,1
2000-01-01T15:00:00,39.749920,142.719363,21.278,1.625,1.089,0.001,1.673,000101.150000.dat,TRD,1
2000-01-01T10:00:00,39.655109,142.597570,14.460,1.547,1.037,0.004,1.089,000101.100000.dat,TRD,1
2000-01-01T16:00:00,39.865964,142.422661,18.616,1.870,1.939,0.001,0.646,000101.160000.dat,TRD,1
2000-01-01T06:00:00,39.580550,142.592741,15.883,1.999,2.174,0.001,0.903,000101.060000.dat,TRD,1
2000-01-01T23:00:00,39.581859,143.708270,14.621,0.000,0.000,0.000,0.662,000101.230000.dat,TRD,2
2000-01-01T21:00:00,39.619583,143.651970,11.371,2.600,4.071,0.004,1.298,000101.210000.dat,TRD,2
2000-01-01T20:00:00,39.486944,143.696657,20.810,2.455,3.583,0.000,0.445,000101.200000.dat,TRD,2
2000-01-01T22:00:00,39.515275,143.634714,10.489,2.238,3.532,0.005,0.541,000101.220000.dat,TRD,2
