39.822 142.470 8.713 SYN
0.000 0.000 0.000 1.647
ST01 ST11 -6.872 1.000
ST06 ST11 10.457 1.000
ST04 CA00 -14.157 1.000
ST02 ST05 -3.365 1.000
ST06 CA00 1.699 1.000
ST05 ST07 16.442 1.000
ST07 CA00 -16.557 1.000
ST01 ST08 -11.519 1.000
ST01 ST09 -13.939 1.000
ST03 ST04 12.695 1.000
ST06 ST09 3.944 1.000
ST02 ST10 15.949 1.000
ST04 ST11 -4.748 1.000
ST07 ST08 -12.792 1.000
ST10 ST11 -10.629 1.000
ST05 ST12 7.169 1.000
ST04 ST05 -14.419 1.000
ST01 CA00 -14.751 1.000
ST07 ST12 -8.354 1.000
ST07 ST10 3.061 1.000
ST02 ST07 12.851 1.000
