39.857 142.346 17.258 SYN
0.000 0.000 0.000 1.377
ST02 ST12 7.664 1.000
ST04 ST12 -4.456 1.000
ST02 ST10 18.166 1.000
ST03 ST04 14.806 1.000
ST01 ST09 -11.216 1.000
ST05 ST07 16.430 1.000
ST04 ST07 2.688 1.000
ST02 ST03 -2.113 1.000
ST06 ST07 18.354 1.000
ST06 ST08 6.567 1.000
ST01 ST07 2.261 1.000
ST06 CA00 0.518 1.000
ST07 ST12 -7.091 1.000
ST10 CA00 -21.322 1.000
ST03 ST05 0.483 1.000
ST02 ST08 2.847 1.000
ST01 ST02 -12.692 1.000
ST08 ST11 5.778 1.000
ST11 ST12 -0.941 1.000
ST02 ST07 14.859 1.000
ST01 ST04 -0.577 1.000
ST05 CA00 -1.439 1.000
ST10 ST11 -9.706 1.000
ST05 ST10 19.902 1.000
ST02 ST05 -1.668 1.000
ST01 ST05 -14.456 1.000
ST09 CA00 -4.508 1.000
ST05 ST12 9.329 1.000
ST04 CA00 -15.372 1.000
ST05 ST09 3.262 1.000
