39.800 142.599 15.813 DE
0.299 0.184 0.025 0.105
ST02 ST12 1.462 15.595
ST04 ST12 -10.366 20.438
ST01 ST09 -19.053 10.081
ST09 ST11 8.347 38.343
ST04 ST05 -17.302 5.022
ST06 ST09 2.030 17.932
ST01 ST08 -16.584 20.915
ST02 ST03 -1.939 24.140
ST03 ST07 15.450 40.392
ST07 ST09 -18.981 8.920
ST09 CA00 1.493 27.053
ST07 CA00 -17.569 4.346
ST02 ST07 13.502 17.488
ST07 ST10 3.416 7.008
ST11 CA00 -6.508 3.534
ST06 CA00 3.593 11.261
ST04 ST09 -17.369 9.830
ST01 ST05 -18.932 17.917
ST03 ST10 18.611 11.423
ST01 ST11 -10.877 21.869
ST01 ST10 2.898 10.870
ST01 ST06 -21.145 53.837
ST07 ST11 -10.588 24.983
ST02 ST11 3.021 8.054
ST04 ST06 -19.302 16.530
ST09 ST12 6.841 9.158
ST02 ST08 -2.889 12.356
ST08 ST09 -2.715 10.101
ST02 ST04 11.898 18.247
ST05 ST12 6.868 12.168
