time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T01:00:00,39.502000,142.501000,14.844,0.289,0.197,0.025,0.101,000101.010000.dat,DE,
2000-01-01T11:00:00,39.701000,142.699000,14.691,0.253,0.254,0.027,0.109,000101.110000.dat,DE,
2000-01-01T08:00:00,39.699000,142.400000,14.713,0.276,0.153,0.028,0.087,000101.080000.dat,DE,
2000-01-01T18:00:00,39.899000,142.601000,14.609,0.269,0.249,0.024,0.106,000101.180000.dat,DE,
2000-01-01T09:00:00,39.700000,142.501000,15.382,0.284,0.210,0.030,0.117,000101.090000.dat,DE,
2000-01-01T00:00:00,39.501000,142.400000,14.813,0.288,0.218,0.022,0.122,000101.000000.dat,DE,
2000-01-01T19:00:00,39.896000,142.701000,13.594,0.273,0.179,0.025,0.107,000101.190000.dat,DE,
2000-01-01T10:00:00,39.700000,142.599000,15.305,0.275,0.211,0.025,0.072,000101.100000.dat,DE,
2000-01-01T03:00:00,39.499000,142.698000,14.980,0.262,0.203,0.026,0.103,000101.030000.dat,DE,
2000-01-01T02:00:00,39.499000,142.599000,15.580,0.254,0.231,0.025,0.083,000101.020000.dat,DE,
2000-01-01T12:00:00,39.800000,142.400000,15.087,0.287,0.195,0.026,0.110,000101.120000.dat,DE,
2000-01-01T13:00:00,39.802000,142.499000,15.864,0.255,0.237,0.034,0.070,000101.130000.dat,DE,
2000-01-01T06:00:00,39.599000,142.598000,15.701,0.267,0.243,0.029,0.112,000101.060000.dat,DE,
2000-01-01T20:00:00,39.501000,143.800000,14.941,0.292,0.233,0.029,0.096,000101.200000.dat,DE,
2000-01-01T16:00:00,39.897000,142.402000,14.870,0.263,0.181,0.028,0.088,000101.160000.dat,DE,
2000-01-01T07:00:00,39.599000,142.700000,15.145,0.246,0.236,0.029,0.106,000101.070000.dat,DE,
2000-01-01T05:00:00,39.600000,142.497000,15.251,0.306,0.219,0.137,0.166,000101.050000.dat,DE,
2000-01-01T17:00:00,39.903000,142.498000,15.179,0.276,0.255,0.027,0.123,000101.170000.dat,DE,
2000-01-01T15:00:00,39.799000,142.701000,14.034,0.255,0.221,0.025,0.100,000101.150000.dat,DE,
2000-01-01T21:00:00,39.600000,143.703000,14.724,0.217,0.237,0.031,0.093,000101.210000.dat,DE,
2000-01-01T04:00:00,39.600000,142.396000,15.159,0.257,0.248,0.025,0.092,000101.040000.dat,DE,
2000-01-01T22:00:00,39.502000,143.707000,14.671,0.308,0.188,0.026,0.107,000101.220000.dat,DE,
2000-01-01T14:00:00,39.800000,142.599000,15.813,0.299,0.184,0.025,0.105,000101.140000.dat,DE,
2000-01-01T23:00:00,39.599000,143.804000,14.944,0.274,0.233,0.034,0.102,000101.230000.dat,DE,
