39.603 142.687 10.401 GRD
0.000 0.000 0.000 0.512
ST04 CA00 -10.279 1.946
ST06 ST07 6.810 2.275
ST05 ST11 7.326 1.107
ST01 ST09 -10.014 26.104
ST07 ST09 -7.370 3.670
ST02 ST03 5.438 40.692
ST07 CA00 -11.036 1.602
ST02 CA00 -3.806 19.545
ST08 ST09 8.112 19.677
ST04 ST12 -2.070 75.632
ST05 ST12 12.831 1.170
ST05 ST06 8.918 2.262
ST05 ST10 19.100 1.063
ST03 ST05 -13.863 2.463
ST07 ST12 -2.911 75.162
ST03 ST08 -13.637 3.651
ST12 CA00 -7.801 1.070
ST11 CA00 -2.719 1.783
ST10 ST12 -6.056 3.345
ST03 ST07 1.964 2.656
ST06 ST10 9.942 1.355
ST08 ST10 18.790 2.904
