time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T01:00:00,39.494000,142.485000,15.794,0.000,0.000,0.000,0.397,000101.010000.dat,GRD,
2000-01-01T08:00:00,39.713000,142.388000,18.083,0.000,0.000,0.000,0.463,000101.080000.dat,GRD,
2000-01-01T11:00:00,39.702000,142.679000,18.318,0.000,0.000,0.000,0.430,000101.110000.dat,GRD,
2000-01-01T18:00:00,39.901000,142.597000,14.540,0.000,0.000,0.000,0.145,000101.180000.dat,GRD,
2000-01-01T19:00:00,39.884000,142.719000,12.782,0.000,0.000,0.000,0.345,000101.190000.dat,GRD,
2000-01-01T09:00:00,39.696000,142.476000,14.357,0.000,0.000,0.000,0.512,000101.090000.dat,GRD,
2000-01-01T00:00:00,39.485000,142.428000,12.318,0.000,0.000,0.000,0.729,000101.000000.dat,GRD,
2000-01-01T10:00:00,39.717000,142.594000,20.534,0.000,0.000,0.000,0.555,000101.100000.dat,GRD,
2000-01-01T12:00:00,39.811000,142.390000,20.044,0.000,0.000,0.000,0.336,000101.120000.dat,GRD,
2000-01-01T03:00:00,39.500000,142.711000,15.735,0.000,0.000,0.000,0.317,000101.030000.dat,GRD,
2000-01-01T02:00:00,39.497000,142.598000,17.719,0.000,0.000,0.000,0.217,000101.020000.dat,GRD,
2000-01-01T13:00:00,39.792000,142.502000,9.321,0.000,0.000,0.000,0.267,000101.130000.dat,GRD,
2000-01-01T06:00:00,39.591000,142.575000,16.856,0.000,0.000,0.000,0.497,000101.060000.dat,GRD,
2000-01-01T20:00:00,39.472000,143.907000,9.651,0.000,0.000,0.000,0.607,000101.200000.dat,GRD,
2000-01-01T16:00:00,39.929000,142.360000,30.521,0.000,0.000,0.000,6.594,000101.160000.dat,GRD,
2000-01-01T07:00:00,39.603000,142.687000,10.401,0.000,0.000,0.000,0.512,000101.070000.dat,GRD,
2000-01-01T15:00:00,39.779000,142.685000,19.900,0.000,0.000,0.000,0.841,000101.150000.dat,GRD,
2000-01-01T17:00:00,39.917000,142.477000,16.846,0.000,0.000,0.000,0.402,000101.170000.dat,GRD,
2000-01-01T21:00:00,39.577000,143.707000,12.077,0.000,0.000,0.000,0.699,000101.210000.dat,GRD,
2000-01-01T05:00:00,39.622000,142.478000,13.747,0.000,0.000,0.000,0.952,000101.050000.dat,GRD,
2000-01-01T04:00:00,39.621000,142.403000,9.157,0.000,0.000,0.000,0.358,000101.040000.dat,GRD,
2000-01-01T22:00:00,39.493000,143.726000,13.185,0.000,0.000,0.000,0.272,000101.220000.dat,GRD,
2000-01-01T23:00:00,39.609000,143.758000,14.111,0.000,0.000,0.000,1.005,000101.230000.dat,GRD,
2000-01-01T14:00:00,39.788000,142.603000,11.557,0.000,0.000,0.000,0.305,000101.140000.dat,GRD,
