39.588 143.718 14.854 LMO
1.868 6.151 2.822 1.393
ST05 ST10 -6.707 1.975
ST07 ST09 -4.770 7.432
ST01 ST04 -0.762 28.725
ST01 ST07 -299.350 0.529
ST03 CA00 -0.978 17.284
ST10 ST11 -10.806 1.926
ST11 CA00 315.596 0.410
ST05 CA00 298.233 0.440
ST01 ST10 -305.640 0.635
ST09 ST12 -7.352 2.058
ST05 ST08 -8.371 53.966
ST02 ST12 -311.856 0.706
ST06 ST09 -8.606 32.334
ST06 ST11 -21.061 5.525
ST07 CA00 298.723 0.498
ST04 ST09 -303.312 0.545
ST02 ST04 -1.035 4.444
ST06 ST07 -3.827 8.879
ST04 ST07 -298.494 0.496
ST12 CA00 310.913 0.758
ST03 ST06 -295.793 0.492
ST04 ST05 -297.980 0.433
