time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T18:00:00,39.898000,142.600000,14.719,0.122,0.080,0.430,0.095,000101.180000.dat,LMO,
2000-01-01T11:00:00,39.700000,142.705000,22.509,0.600,0.577,2.462,0.557,000101.110000.dat,LMO,
2000-01-01T08:00:00,39.699000,142.409000,18.486,0.383,0.562,1.702,0.377,000101.080000.dat,LMO,
2000-01-01T01:00:00,39.501000,142.500000,10.956,0.213,0.276,2.330,0.206,000101.010000.dat,LMO,
2000-01-01T09:00:00,39.700000,142.500000,13.391,0.100,0.160,0.666,0.167,000101.090000.dat,LMO,
2000-01-01T00:00:00,39.500000,142.397000,12.097,0.317,0.386,0.833,0.394,000101.000000.dat,LMO,
2000-01-01T19:00:00,39.901000,142.700000,21.876,0.510,0.329,2.599,0.210,000101.190000.dat,LMO,
2000-01-01T10:00:00,39.701000,142.599000,13.999,0.038,0.041,0.252,0.039,000101.100000.dat,LMO,
2000-01-01T02:00:00,39.499000,142.597000,18.769,0.091,0.131,1.104,0.125,000101.020000.dat,LMO,
2000-01-01T13:00:00,39.800000,142.500000,12.848,0.153,0.160,0.816,0.139,000101.130000.dat,LMO,
2000-01-01T03:00:00,39.500000,142.699000,9.309,0.126,0.224,3.925,0.155,000101.030000.dat,LMO,
2000-01-01T12:00:00,39.817000,142.373000,24.672,0.769,1.127,2.758,0.453,000101.120000.dat,LMO,
2000-01-01T06:00:00,39.601000,142.601000,16.683,0.098,0.130,0.478,0.124,000101.060000.dat,LMO,
2000-01-01T16:00:00,39.941000,142.376000,49.144,2.236,2.749,6.786,1.696,000101.160000.dat,LMO,
2000-01-01T20:00:00,39.496000,143.925000,34.079,16.469,93.043,61.226,11.206,000101.200000.dat,LMO,
2000-01-01T07:00:00,39.601000,142.700000,9.049,0.194,0.279,1.757,0.361,000101.070000.dat,LMO,
2000-01-01T17:00:00,39.900000,142.500000,14.826,0.076,0.050,0.229,0.044,000101.170000.dat,LMO,
2000-01-01T21:00:00,39.600000,143.710000,14.536,0.131,0.486,0.280,0.099,000101.210000.dat,LMO,
2000-01-01T15:00:00,39.804000,142.708000,23.797,0.718,0.743,3.019,0.535,000101.150000.dat,LMO,
2000-01-01T23:00:00,39.588000,143.718000,14.854,1.868,6.151,2.822,1.393,000101.230000.dat,LMO,
2000-01-01T22:00:00,39.501000,143.700000,14.961,0.108,0.379,0.146,0.066,000101.220000.dat,LMO,
2000-01-01T05:00:00,39.600000,142.498000,10.126,0.066,0.075,0.955,0.083,000101.050000.dat,LMO,
2000-01-01T14:00:00,39.798000,142.600000,7.408,0.264,0.230,3.032,0.317,000101.140000.dat,LMO,
2000-01-01T04:00:00,39.603000,142.401000,11.465,0.215,0.277,1.079,0.147,000101.040000.dat,LMO,
