39.483 143.787 39.797 MCMC
2.179 1.354 2.503 6.705
ST09 CA00 301.643 0.099
ST06 CA00 -0.777 3125.800
ST08 CA00 306.890 0.089
ST05 ST12 -10.133 0.361
ST02 ST04 -1.262 52.171
ST02 ST05 -299.488 0.109
ST01 ST07 -301.365 0.103
ST01 ST04 -0.783 41.617
ST09 ST10 -5.895 0.916
ST09 ST12 -6.539 0.689
ST07 ST12 -7.705 0.448
ST01 ST12 -309.182 0.083
ST07 ST08 -6.140 0.636
ST05 ST08 -8.303 0.542
ST10 ST11 -8.433 0.448
ST08 ST09 4.993 1.232
ST01 ST03 0.468 23.338
ST06 ST07 -301.581 0.103
ST05 CA00 298.172 0.112
ST03 ST05 -299.506 0.108
ST01 ST06 0.249 312.876
ST02 ST09 -302.799 0.098
ST02 ST08 -307.893 0.090
ST04 CA00 0.303 14.596
ST06 ST10 -308.434 0.088
ST10 CA00 307.534 0.089
ST01 ST02 0.432 11.087
