time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T01:00:00,39.502000,142.509000,13.737,0.218,0.167,0.808,0.250,000101.010000.dat,MCMC,
2000-01-01T08:00:00,39.705000,142.402000,14.408,0.394,0.379,0.818,0.170,000101.080000.dat,MCMC,
2000-01-01T11:00:00,39.702000,142.693000,18.006,0.276,0.324,0.354,0.226,000101.110000.dat,MCMC,
2000-01-01T18:00:00,39.901000,142.597000,14.540,0.000,0.000,0.000,0.145,000101.180000.dat,MCMC,
2000-01-01T19:00:00,39.912000,142.687000,21.603,1.173,0.510,1.213,0.419,000101.190000.dat,MCMC,
2000-01-01T09:00:00,39.695000,142.512000,13.510,0.588,0.277,0.911,0.243,000101.090000.dat,MCMC,
2000-01-01T00:00:00,39.507000,142.404000,15.264,0.732,1.208,1.619,0.241,000101.000000.dat,MCMC,
2000-01-01T10:00:00,39.696000,142.596000,13.101,0.641,0.077,0.262,0.196,000101.100000.dat,MCMC,
2000-01-01T12:00:00,39.804000,142.389000,16.369,0.398,0.783,2.080,0.187,000101.120000.dat,MCMC,
2000-01-01T03:00:00,39.504000,142.699000,13.866,0.476,0.627,1.199,0.205,000101.030000.dat,MCMC,
2000-01-01T02:00:00,39.502000,142.598000,18.876,0.084,0.062,0.324,0.231,000101.020000.dat,MCMC,
2000-01-01T13:00:00,39.793000,142.505000,14.858,0.870,0.612,1.225,0.193,000101.130000.dat,MCMC,
2000-01-01T20:00:00,39.483000,143.787000,39.797,2.179,1.354,2.503,6.705,000101.200000.dat,MCMC,
2000-01-01T16:00:00,39.946000,142.375000,30.183,4.639,3.523,3.280,6.569,000101.160000.dat,MCMC,
2000-01-01T06:00:00,39.601000,142.605000,16.708,0.408,0.611,0.218,0.171,000101.060000.dat,MCMC,
2000-01-01T07:00:00,39.601000,142.703000,16.806,0.118,0.442,0.073,0.229,000101.070000.dat,MCMC,
2000-01-01T17:00:00,39.904000,142.497000,16.905,0.315,0.689,0.306,0.167,000101.170000.dat,MCMC,
2000-01-01T21:00:00,39.595000,143.769000,11.701,0.634,0.254,0.355,0.260,000101.210000.dat,MCMC,
2000-01-01T15:00:00,39.800000,142.699000,17.943,0.050,0.499,0.043,0.194,000101.150000.dat,MCMC,
2000-01-01T05:00:00,39.600000,142.502000,14.713,0.296,0.505,0.575,0.103,000101.050000.dat,MCMC,
2000-01-01T23:00:00,39.605000,143.801000,14.884,0.825,0.831,0.477,0.162,000101.230000.dat,MCMC,
2000-01-01T04:00:00,39.606000,142.404000,9.667,0.576,0.592,0.863,0.289,000101.040000.dat,MCMC,
2000-01-01T22:00:00,39.503000,143.717000,14.128,0.610,0.868,0.448,0.139,000101.220000.dat,MCMC,
2000-01-01T14:00:00,39.793000,142.591000,11.519,0.444,1.204,0.148,0.305,000101.140000.dat,MCMC,
