39.605 142.500 14.860 TRD
1.719 1.315 0.494 0.221
ST02 ST12 10.865 1.000
ST05 CA00 1.783 1.000
ST10 CA00 -19.093 1.000
ST01 ST07 1.327 1.000
ST03 ST10 9.608 1.000
ST02 ST05 -5.101 1.000
ST01 ST11 -3.096 1.000
ST03 ST11 1.266 1.000
ST07 ST09 -5.526 1.000
ST07 CA00 -15.120 1.000
ST04 ST12 1.840 1.000
ST09 ST10 9.660 1.000
ST08 ST10 14.712 1.000
ST03 ST08 -5.412 1.000
ST07 ST12 -0.873 1.000
ST02 ST10 15.461 1.000
ST08 CA00 -4.245 1.000
ST06 ST09 2.136 1.000
ST04 ST11 -1.897 1.000
ST07 ST10 4.017 1.000
ST02 ST08 0.580 1.000
ST02 CA00 -3.601 1.000
ST05 ST09 11.266 1.000
ST03 ST06 -2.080 1.000
ST03 ST12 4.828 1.000
ST01 ST05 -15.512 1.000
ST01 ST03 -4.420 1.000
ST05 ST07 16.709 1.000
