time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T06:00:00,39.605532,142.599876,14.796,1.543,1.329,0.370,0.215,000101.060000.dat,TRD,1
2000-01-01T17:00:00,39.900537,142.503610,14.833,2.019,1.774,0.272,0.199,000101.170000.dat,TRD,1
2000-01-01T02:00:00,39.500129,142.598204,15.641,1.782,1.504,0.246,0.193,000101.020000.dat,TRD,1
2000-01-01T18:00:00,39.901964,142.596994,14.810,2.178,1.638,0.458,0.241,000101.180000.dat,TRD,1
2000-01-01T01:00:00,39.506485,142.496177,15.066,1.706,1.370,0.097,0.287,000101.010000.dat,TRD,1
2000-01-01T12:00:00,39.800972,142.399190,14.893,1.846,1.834,0.200,0.223,000101.120000.dat,TRD,1
2000-01-01T10:00:00,39.707248,142.597566,14.812,1.520,1.336,0.238,0.249,000101.100000.dat,TRD,1
2000-01-01T16:00:00,39.898284,142.399127,15.195,2.047,1.967,0.178,0.205,000101.160000.dat,TRD,1
2000-01-01T11:00:00,39.702297,142.701087,15.317,1.569,1.396,0.170,0.208,000101.110000.dat,TRD,1
2000-01-01T15:00:00,39.797197,142.701232,15.248,1.707,1.427,0.140,0.213,000101.150000.dat,TRD,1
2000-01-01T08:00:00,39.707300,142.397832,15.171,1.889,1.808,0.118,0.236,000101.080000.dat,TRD,1
2000-01-01T09:00:00,39.703029,142.501019,14.865,1.515,1.416,0.517,0.208,000101.090000.dat,TRD,1
2000-01-01T04:00:00,39.604364,142.405552,14.152,2.344,2.104,0.450,0.222,000101.040000.dat,TRD,1
2000-01-01T00:00:00,39.500592,142.398768,14.770,2.237,1.722,0.286,0.256,000101.000000.dat,TRD,1
2000-01-01T07:00:00,39.603252,142.698640,14.811,1.581,1.210,0.355,0.300,000101.070000.dat,TRD,1
2000-01-01T14:00:00,39.799373,142.600054,14.673,1.589,1.425,0.433,0.196,000101.140000.dat,TRD,1
2000-01-01T03:00:00,39.504141,142.704407,14.471,1.680,1.600,0.259,0.268,000101.030000.dat,TRD,1
2000-01-01T19:00:00,39.902656,142.700719,15.135,2.942,2.954,0.374,0.192,000101.190000.dat,TRD,1
2000-01-01T13:00:00,39.800995,142.502083,14.981,1.698,1.494,0.479,0.155,000101.130000.dat,TRD,1
2000-01-01T05:00:00,39.605270,142.500107,14.860,1.719,1.315,0.494,0.221,000101.050000.dat,TRD,1
2000-01-01T21:00:00,39.653627,143.676842,12.836,15.347,14.818,0.234,0.222,000101.210000.dat,TRD,2
2000-01-01T20:00:00,39.571189,143.906426,18.420,19.303,19.127,0.236,0.297,000101.200000.dat,TRD,2
2000-01-01T22:00:00,39.553706,143.718026,12.433,16.186,14.902,0.741,0.244,000101.220000.dat,TRD,2
2000-01-01T23:00:00,39.663976,143.789183,14.694,17.592,17.464,0.730,0.244,000101.230000.dat,TRD,2
