39.588 143.717 14.773 SYN
0.000 0.000 0.000 0.268
ST05 ST10 -4.676 1.000
ST07 ST09 -3.386 1.000
ST01 ST04 -5.899 1.000
ST01 ST07 -10.430 1.000
ST03 CA00 -4.322 1.000
ST10 ST11 -9.274 1.000
ST11 CA00 18.184 1.000
ST05 CA00 4.383 1.000
ST01 ST10 -14.929 1.000
ST09 ST12 -6.253 1.000
ST05 ST08 -6.322 1.000
ST02 ST12 -17.204 1.000
ST06 ST09 -6.173 1.000
ST06 ST11 -16.690 1.000
ST07 CA00 4.634 1.000
ST04 ST09 -7.871 1.000
ST02 ST04 -2.922 1.000
ST06 ST07 -2.779 1.000
ST04 ST07 -4.438 1.000
ST12 CA00 14.340 1.000
ST03 ST06 -6.096 1.000
ST04 ST05 -4.163 1.000
