time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T11:00:00,39.702000,142.679000,18.318,0.000,0.000,0.000,0.422,000101.110000.dat,SYN,
2000-01-01T01:00:00,39.529000,142.527000,13.523,0.000,0.000,0.000,0.823,000101.010000.dat,SYN,
2000-01-01T08:00:00,39.707000,142.361000,17.013,0.000,0.000,0.000,0.597,000101.080000.dat,SYN,
2000-01-01T18:00:00,39.901000,142.597000,14.540,0.000,0.000,0.000,0.162,000101.180000.dat,SYN,
2000-01-01T19:00:00,39.964000,142.688000,16.554,0.000,0.000,0.000,1.206,000101.190000.dat,SYN,
2000-01-01T09:00:00,39.736000,142.521000,14.514,0.000,0.000,0.000,1.138,000101.090000.dat,SYN,
2000-01-01T00:00:00,39.476000,142.357000,14.015,0.000,0.000,0.000,1.023,000101.000000.dat,SYN,
2000-01-01T10:00:00,39.724000,142.588000,14.702,0.000,0.000,0.000,0.654,000101.100000.dat,SYN,
2000-01-01T12:00:00,39.857000,142.346000,17.258,0.000,0.000,0.000,1.377,000101.120000.dat,SYN,
2000-01-01T02:00:00,39.497000,142.598000,17.719,0.000,0.000,0.000,0.184,000101.020000.dat,SYN,
2000-01-01T03:00:00,39.510000,142.732000,12.392,0.000,0.000,0.000,0.948,000101.030000.dat,SYN,
2000-01-01T13:00:00,39.813000,142.482000,11.228,0.000,0.000,0.000,0.908,000101.130000.dat,SYN,
2000-01-01T20:00:00,39.500000,143.821000,18.485,0.000,0.000,0.000,0.170,000101.200000.dat,SYN,
2000-01-01T16:00:00,39.906000,142.405000,17.190,0.000,0.000,0.000,0.260,000101.160000.dat,SYN,
2000-01-01T06:00:00,39.615000,142.600000,15.581,0.000,0.000,0.000,0.505,000101.060000.dat,SYN,
2000-01-01T07:00:00,39.672000,142.705000,13.149,0.000,0.000,0.000,2.564,000101.070000.dat,SYN,
2000-01-01T17:00:00,39.900000,142.457000,15.366,0.000,0.000,0.000,0.636,000101.170000.dat,SYN,
2000-01-01T21:00:00,39.551000,143.770000,12.825,0.000,0.000,0.000,0.767,000101.210000.dat,SYN,
2000-01-01T15:00:00,39.772000,142.679000,18.819,0.000,0.000,0.000,1.026,000101.150000.dat,SYN,
2000-01-01T05:00:00,39.577000,142.464000,12.838,0.000,0.000,0.000,1.161,000101.050000.dat,SYN,
2000-01-01T23:00:00,39.588000,143.717000,14.773,0.000,0.000,0.000,0.268,000101.230000.dat,SYN,
2000-01-01T22:00:00,39.506000,143.743000,12.300,0.000,0.000,0.000,0.219,000101.220000.dat,SYN,
2000-01-01T04:00:00,39.578000,142.376000,10.104,0.000,0.000,0.000,1.768,000101.040000.dat,SYN,
2000-01-01T14:00:00,39.807000,142.544000,12.576,0.000,0.000,0.000,1.130,000101.140000.dat,SYN,
