39.876 143.228 20.000 REF
0.000 0.000 0.000 999.000
ML17 ML37 -6.544 1.000
ML07 ML17 3.352 1.000
ML31 ML38 -1.855 1.000
ML07 ML30 -7.530 1.000
ML06 ML30 -8.436 1.000
ML21 ML30 -7.032 1.000
ML18 ML28 -0.276 1.000
ML07 ML29 -4.568 1.000
ML08 ML19 -3.929 1.000
ML30 ML39 4.657 1.000
ML19 ML21 2.921 1.000
ML29 ML31 0.540 1.000
ML06 ML18 -1.893 1.000
ML09 ML31 -8.177 1.000
ML08 ML20 -3.850 1.000
ML18 ML30 -6.543 1.000
ML37 ML38 -2.691 1.000
ML06 ML37 -4.098 1.000
ML20 ML31 -0.687 1.000
ML19 ML31 -0.609 1.000
ML07 ML31 -4.028 1.000
ML29 ML37 1.376 1.000
ML38 ML39 3.010 1.000
ML08 ML28 -1.772 1.000
ML08 ML30 -8.040 1.000
ML07 ML20 -3.341 1.000
ML19 ML39 0.546 1.000
ML09 ML18 -5.136 1.000
ML08 ML39 -3.383 1.000
ML09 ML37 -7.341 1.000
ML20 ML29 -1.227 1.000
ML19 ML20 0.078 1.000
ML19 ML28 2.156 1.000
ML21 ML37 -2.694 1.000
ML17 ML30 -10.882 1.000
ML21 ML39 -2.375 1.000
ML07 ML28 -1.263 1.000
ML18 ML38 -4.896 1.000
