39.757 143.268 14.975 SYN
0.000 0.000 0.000 1.338
ML08 ML39 -1.632 1.000
ML06 ML28 -2.536 1.000
ML30 ML31 4.693 1.000
ML06 ML38 -4.657 1.000
ML09 ML17 -3.336 1.000
ML17 ML38 -6.622 1.000
ML19 ML28 1.290 1.000
ML28 ML37 -0.873 1.000
ML18 ML28 -0.360 1.000
ML19 ML38 -0.496 1.000
ML17 ML18 -4.232 1.000
ML18 ML39 1.773 1.000
ML06 ML07 -0.134 1.000
ML08 ML17 0.862 1.000
ML29 ML37 2.012 1.000
ML08 ML21 -0.215 1.000
ML19 ML29 -1.613 1.000
ML07 ML39 -0.438 1.000
ML07 ML38 -4.580 1.000
ML06 ML18 -2.244 1.000
ML30 ML38 2.126 1.000
ML08 ML38 -5.826 1.000
ML09 ML30 -12.143 1.000
ML09 ML37 -8.903 1.000
ML19 ML31 1.667 1.000
