39.876 143.372 20.000 REF
0.000 0.000 0.000 999.000
ML17 ML37 -3.688 1.000
ML08 ML17 4.791 1.000
ML19 ML21 3.361 1.000
ML08 ML28 1.148 1.000
ML17 ML20 -8.340 1.000
ML28 ML31 -3.451 1.000
ML21 ML28 1.219 1.000
ML20 ML37 4.653 1.000
ML18 ML31 -2.188 1.000
ML18 ML21 0.043 1.000
ML06 ML31 -2.938 1.000
ML09 ML19 -7.594 1.000
ML17 ML38 -5.791 1.000
ML09 ML20 -7.712 1.000
ML09 ML39 -3.039 1.000
ML31 ML37 3.406 1.000
ML31 ML39 3.425 1.000
ML09 ML29 -6.524 1.000
ML19 ML31 1.129 1.000
ML38 ML39 2.123 1.000
ML21 ML38 -0.930 1.000
ML06 ML08 -0.635 1.000
ML07 ML30 -5.008 1.000
ML08 ML29 -2.362 1.000
ML06 ML30 -6.377 1.000
ML17 ML30 -10.532 1.000
ML06 ML07 -1.369 1.000
ML21 ML37 1.174 1.000
ML19 ML39 4.554 1.000
ML30 ML38 4.741 1.000
ML21 ML31 -2.232 1.000
ML08 ML20 -3.549 1.000
ML07 ML18 0.620 1.000
ML18 ML37 1.217 1.000
ML19 ML29 1.070 1.000
ML17 ML28 -3.643 1.000
ML17 ML18 -4.905 1.000
ML30 ML37 6.845 1.000
