39.758 143.212 19.903 SYN
0.000 0.000 0.000 0.806
ML21 ML29 -9.295 1.000
ML06 ML39 2.176 1.000
ML20 ML37 -3.360 1.000
ML08 ML17 -2.592 1.000
ML20 ML21 4.035 1.000
ML19 ML31 3.986 1.000
ML20 ML30 -4.401 1.000
ML07 ML08 2.039 1.000
ML30 ML31 5.483 1.000
ML17 ML30 -5.331 1.000
ML19 ML28 -0.748 1.000
ML08 ML31 -2.600 1.000
ML09 ML18 -10.475 1.000
ML09 ML37 -11.613 1.000
ML06 ML38 -2.967 1.000
ML37 ML38 1.185 1.000
ML31 ML39 1.783 1.000
ML17 ML37 -4.722 1.000
ML06 ML20 -0.878 1.000
ML17 ML19 -3.881 1.000
ML08 ML37 -7.541 1.000
ML19 ML21 6.792 1.000
ML06 ML31 0.545 1.000
ML18 ML29 -3.012 1.000
ML17 ML21 2.982 1.000
ML17 ML39 1.860 1.000
ML09 ML30 -12.427 1.000
ML09 ML31 -6.955 1.000
ML07 ML39 1.137 1.000
ML20 ML31 1.071 1.000
