39.771 143.183 20.000 REF
0.000 0.000 0.000 999.000
ML20 ML37 -4.591 1.000
ML09 ML30 -12.678 1.000
ML30 ML39 5.614 1.000
ML18 ML20 1.111 1.000
ML09 ML21 -4.297 1.000
ML07 ML31 -2.271 1.000
ML17 ML28 -5.046 1.000
ML18 ML31 1.230 1.000
ML20 ML30 -4.800 1.000
ML06 ML29 -6.753 1.000
ML07 ML17 0.026 1.000
ML29 ML38 0.364 1.000
ML07 ML28 -5.020 1.000
ML08 ML19 -5.757 1.000
ML29 ML31 4.888 1.000
ML19 ML28 -0.792 1.000
ML20 ML39 0.815 1.000
ML07 ML37 -6.981 1.000
ML08 ML18 -5.030 1.000
ML18 ML28 -1.518 1.000
ML38 ML39 5.220 1.000
ML28 ML30 -2.171 1.000
ML18 ML37 -3.480 1.000
ML21 ML37 -8.172 1.000
ML19 ML20 1.837 1.000
ML19 ML29 -2.931 1.000
ML09 ML28 -10.507 1.000
ML06 ML19 -3.822 1.000
ML20 ML38 -4.405 1.000
ML17 ML31 -2.298 1.000
ML06 ML07 0.406 1.000
ML07 ML39 -1.576 1.000
