39.724 143.302 19.091 TRD
0.692 0.812 0.063 1.497
ML29 ML30 0.929 1.000
ML09 ML17 -6.755 1.000
ML07 ML37 -2.926 1.000
ML08 ML28 -6.221 1.000
ML09 ML37 -10.006 1.000
ML19 ML30 -0.967 1.000
ML37 ML39 5.725 1.000
ML19 ML38 2.227 1.000
ML29 ML39 8.509 1.000
ML17 ML21 2.917 1.000
ML07 ML17 0.345 1.000
ML06 ML39 3.551 1.000
ML18 ML37 0.706 1.000
ML19 ML37 1.150 1.000
ML19 ML21 7.112 1.000
ML09 ML29 -13.161 1.000
ML08 ML18 -6.025 1.000
ML20 ML31 1.832 1.000
ML07 ML09 6.915 1.000
ML09 ML19 -11.167 1.000
ML07 ML30 -5.106 1.000
ML07 ML08 2.207 1.000
ML30 ML37 1.899 1.000
ML17 ML37 -3.171 1.000
ML06 ML30 -3.951 1.000
ML18 ML31 4.139 1.000
ML20 ML21 4.355 1.000
ML18 ML21 6.928 1.000
ML06 ML21 3.875 1.000
ML19 ML20 2.999 1.000
ML07 ML19 -4.055 1.000
