time,latitude,longitude,depth,xerr,yerr,zerr,rms,file,mode,cid
2000-01-01T00:00:00,39.895000,143.300000,20.000,0.000,0.000,0.000,999.000,000101.000000.dat,REF,1
2000-01-02T20:00:00,39.857313,143.326890,18.831,0.596,0.605,0.111,0.729,000102.200000.dat,TRD,1
2000-01-02T02:00:00,39.776323,143.327247,18.996,0.661,0.728,0.081,1.333,000102.020000.dat,TRD,1
2000-01-02T16:00:00,39.858295,143.219775,19.543,0.628,0.672,0.150,2.009,000102.160000.dat,TRD,1
2000-01-01T14:00:00,39.722461,143.327852,19.049,0.628,0.619,0.058,0.402,000101.140000.dat,TRD,1
2000-01-02T08:00:00,39.804821,143.327557,19.140,0.581,0.633,0.061,0.516,000102.080000.dat,TRD,1
2000-01-01T16:00:00,39.752347,143.220836,18.649,0.608,0.747,0.142,0.692,000101.160000.dat,TRD,1
2000-01-01T21:00:00,39.751033,143.353808,18.976,0.609,0.660,0.100,0.321,000101.210000.dat,TRD,1
2000-01-02T07:00:00,39.802766,143.301608,19.187,0.591,0.630,0.137,0.825,000102.070000.dat,TRD,1
2000-01-01T09:00:00,39.876000,143.228000,20.000,0.000,0.000,0.000,999.000,000101.090000.dat,REF,1
2000-01-01T02:00:00,39.829000,143.417000,20.000,0.000,0.000,0.000,999.000,000101.020000.dat,REF,1
2000-01-01T22:00:00,39.777296,143.223145,18.595,0.621,0.855,0.148,0.477,000101.220000.dat,TRD,1
2000-01-02T10:00:00,39.830813,143.222498,18.328,0.618,0.721,0.117,0.836,000102.100000.dat,TRD,1
2000-01-01T17:00:00,39.750981,143.247343,18.678,0.603,0.712,0.078,0.721,000101.170000.dat,TRD,1
2000-01-01T15:00:00,39.724458,143.353019,18.970,0.616,0.688,0.131,0.344,000101.150000.dat,TRD,1
2000-01-02T13:00:00,39.830365,143.301220,18.703,0.617,0.625,0.145,0.740,000102.130000.dat,TRD,1
2000-01-01T11:00:00,39.723635,143.249130,19.103,0.646,0.886,0.084,1.058,000101.110000.dat,TRD,1
2000-01-02T06:00:00,39.804288,143.275293,18.971,0.608,0.664,0.120,0.972,000102.060000.dat,TRD,1
2000-01-02T03:00:00,39.776857,143.352300,19.849,0.609,0.629,0.084,0.826,000102.030000.dat,TRD,1
2000-01-02T12:00:00,39.829697,143.275912,18.964,0.606,0.640,0.138,2.088,000102.120000.dat,TRD,1
2000-01-01T20:00:00,39.750757,143.327099,18.933,0.576,0.605,0.081,0.765,000101.200000.dat,TRD,1
2000-01-01T18:00:00,39.751087,143.275360,18.749,0.593,0.633,0.078,0.320,000101.180000.dat,TRD,1
2000-01-01T05:00:00,39.706000,143.300000,20.000,0.000,0.000,0.000,999.000,000101.050000.dat,REF,1
2000-01-01T03:00:00,39.771000,143.417000,20.000,0.000,0.000,0.000,999.000,000101.030000.dat,REF,1
2000-01-02T05:00:00,39.802497,143.247928,18.979,0.599,0.631,0.215,1.338,000102.050000.dat,TRD,1
2000-01-02T01:00:00,39.777762,143.299745,18.969,0.620,0.649,0.113,1.847,000102.010000.dat,TRD,1
2000-01-01T13:00:00,39.723644,143.301590,19.091,0.692,0.812,0.063,1.497,000101.130000.dat,TRD,1
2000-01-02T04:00:00,39.803820,143.222241,18.945,0.623,0.722,0.090,0.426,000102.040000.dat,TRD,1
2000-01-02T09:00:00,39.804332,143.353004,19.001,0.587,0.615,0.076,0.493,000102.090000.dat,TRD,1
2000-01-01T07:00:00,39.771000,143.183000,20.000,0.000,0.000,0.000,999.000,000101.070000.dat,REF,1
2000-01-01T10:00:00,39.723874,143.220344,19.277,0.652,0.788,0.180,1.207,000101.100000.dat,TRD,1
2000-01-02T19:00:00,39.859648,143.303091,18.998,0.732,0.750,0.050,0.739,000102.190000.dat,TRD,1
2000-01-01T01:00:00,39.876000,143.372000,20.000,0.000,0.000,0.000,999.000,000101.010000.dat,REF,1
2000-01-01T23:00:00,39.777629,143.247931,18.757,0.602,0.655,0.066,0.493,000101.230000.dat,TRD,1
2000-01-01T08:00:00,39.829000,143.183000,20.000,0.000,0.000,0.000,999.000,000101.080000.dat,REF,1
2000-01-02T21:00:00,39.855802,143.354077,18.857,0.595,0.627,0.068,0.861,000102.210000.dat,TRD,1
2000-01-02T15:00:00,39.829607,143.357618,19.112,0.588,0.611,0.088,1.507,000102.150000.dat,TRD,1
2000-01-01T04:00:00,39.724000,143.372000,20.000,0.000,0.000,0.000,999.000,000101.040000.dat,REF,1
2000-01-01T12:00:00,39.725837,143.275528,18.290,0.612,0.649,0.109,2.005,000101.120000.dat,TRD,1
2000-01-02T17:00:00,39.857715,143.249874,18.509,0.610,0.751,0.109,1.424,000102.170000.dat,TRD,1
2000-01-01T19:00:00,39.750642,143.301682,18.959,0.584,0.710,0.107,0.541,000101.190000.dat,TRD,1
2000-01-02T00:00:00,39.778055,143.273901,18.715,0.582,0.620,0.101,1.239,000102.000000.dat,TRD,1
2000-01-01T06:00:00,39.724000,143.228000,20.000,0.000,0.000,0.000,999.000,000101.060000.dat,REF,1
2000-01-02T14:00:00,39.831165,143.329502,18.870,0.605,0.616,0.074,0.772,000102.140000.dat,TRD,1
2000-01-02T11:00:00,39.829676,143.247638,19.136,0.664,0.718,0.103,0.922,000102.110000.dat,TRD,1
2000-01-02T18:00:00,39.856703,143.274416,18.850,0.633,0.769,0.100,0.762,000102.180000.dat,TRD,1
